video_id,split
0,val
1,train
2,train
3,train
4,train
5,test
6,train
7,train
8,train
9,train
10,train
11,val
12,train
13,train
14,train
15,train
16,train
17,test
18,train
19,val
20,val
21,train
22,train
23,train
24,train
25,train
26,test
27,train
28,train
29,train
30,train
31,train
32,train
33,train
34,train
35,train
36,train
37,train
38,train
39,test
40,train
41,test
42,train
43,train
44,train
45,train
46,train
47,train
48,train
49,train
50,train
51,train
52,train
53,test
54,train
55,train
56,train
57,train
58,train
59,train
60,train
61,train
62,train
63,test
64,test
65,train
66,train
67,train
68,train
69,train
70,train
71,train
72,train
73,train
74,train
75,test
76,train
77,train
78,train
79,train
80,train
81,train
82,train
83,train
84,train
85,train
86,train
87,train
88,val
89,val
90,train
91,val
92,train
93,train
94,train
95,train
96,train
97,test
98,val
99,val
100,train
101,train
102,train
103,train
104,train
105,val
106,val
107,train
108,train
109,train
110,train
111,train
112,train
113,train
114,train
115,train
116,train
117,test
118,val
119,train
120,train
121,test
122,train
123,train
124,train
125,train
126,train
127,train
128,train
129,train
130,test
131,train
132,test
133,val
134,train
135,train
136,train
137,train
138,train
139,val
140,test
141,train
142,train
143,train
144,val
145,train
146,train
147,train
148,train
149,train
150,train
151,train
152,train
153,train
154,test
155,train
156,val
157,train
158,test
159,val
160,train
161,val
162,train
163,train
164,train
165,train
166,test
167,train
168,train
169,train
170,val
171,train
172,train
173,train
174,test
175,train
176,train
177,train
178,train
179,train
180,train
181,train
182,train
183,test
184,train
185,train
186,train
187,val
188,train
189,train
190,train
191,train
192,train
193,train
194,val
195,train
196,train
197,train
198,train
199,test
200,test
201,train
202,test
203,train
204,train
205,train
206,train
207,train
208,train
209,train
210,test
211,train
212,train
213,train
214,train
215,test
216,train
217,train
218,train
219,train
220,train
221,train
222,train
223,test
224,train
225,train
226,val
227,train
228,val
229,train
230,train
231,train
232,test
233,train
234,train
235,train
236,test
237,train
238,train
239,val
240,train
241,test
242,train
243,train
244,train
245,train
246,test
247,test
248,train
249,train
250,train
251,train
252,train
253,train
254,train
255,val
256,train
257,train
258,train
259,train
260,train
261,test
262,train
263,train
264,train
265,train
266,train
267,train
268,train
269,train
270,train
271,test
272,train
273,train
274,train
275,train
276,test
277,train
278,train
279,train
280,train
281,train
282,train
283,train
284,train
285,train
286,train
287,train
288,train
289,train
290,train
291,train
292,train
293,train
294,train
295,train
296,train
297,train
298,val
299,train
300,train
301,train
302,test
303,train
304,val
305,val
306,val
307,val
308,train
309,train
310,train
311,train
312,train
313,train
314,train
315,val
316,train
317,train
318,train
319,val
320,train
321,train
322,test
323,train
324,test
325,train
326,train
327,train
328,train
329,train
330,train
331,train
332,train
333,train
334,train
335,test
336,train
337,val
338,train
339,train
340,train
341,train
342,test
343,train
344,train
345,test
346,train
347,test
348,train
349,train
350,train
351,train
352,train
353,train
354,train
355,train
356,train
357,train
358,train
359,train
360,train
361,val
362,train
363,train
364,train
365,train
366,train
367,train
368,train
369,val
370,train
371,train
372,train
373,train
374,train
375,val
376,train
377,train
378,train
379,train
380,train
381,train
382,val
383,train
384,train
385,test
386,train
387,train
388,train
389,train
390,train
391,train
392,train
393,train
394,train
395,train
396,train
397,train
398,val
399,train
400,train
401,train
402,test
403,train
404,train
405,test
406,train
407,train
408,val
409,train
410,train
411,train
412,train
413,train
414,train
415,test
416,train
417,train
418,train
419,val
420,train
421,train
422,train
423,train
424,train
425,train
426,train
427,test
428,train
429,train
430,train
431,test
432,train
433,train
434,train
435,train
436,train
437,train
438,train
439,train
440,val
441,test
442,train
443,test
444,train
445,train
446,test
447,train
448,train
449,train
450,train
451,val
452,train
453,train
454,train
455,test
456,train
457,train
458,train
459,train
460,train
461,train
462,train
463,train
464,train
465,train
466,train
467,train
468,train
469,test
470,val
471,train
472,val
473,train
474,train
475,train
476,train
477,train
478,train
479,train
480,test
481,train
482,train
483,test
484,train
485,train
486,test
487,train
488,train
489,train
490,test
491,test
492,val
493,train
494,train
495,train
496,train
497,train
498,train
499,train
500,train
501,train
502,train
503,train
504,test
505,test
506,train
507,val
508,train
509,test
510,train
511,train
512,test
513,train
514,train
515,train
516,test
517,val
518,train
519,train
520,train
521,train
522,train
523,train
524,train
525,train
526,train
527,train
528,train
529,train
530,train
531,train
532,test
533,train
534,val
535,train
536,test
537,train
538,train
539,val
540,train
541,train
542,train
543,val
544,train
545,train
546,train
547,train
548,train
549,train
550,train
551,train
552,train
553,train
554,train
555,train
556,train
557,train
558,test
559,train
560,train
561,train
562,train
563,train
564,train
565,test
566,train
567,train
568,train
569,train
570,train
571,train
572,test
573,train
574,val
575,train
576,train
577,train
578,train
579,test
580,train
581,train
582,val
583,train
584,train
585,train
586,train
587,train
588,train
589,test
590,train
591,train
592,train
593,train
594,train
595,val
596,train
597,test
598,train
599,train
600,train
601,train
602,train
603,test
604,train
605,train
606,train
607,train
608,train
609,train
610,train
611,train
612,train
613,test
614,train
615,train
616,train
617,val
618,val
619,train
620,train
621,train
622,val
623,train
624,val
625,train
626,val
627,train
628,train
629,train
630,train
631,train
632,train
633,train
634,test
635,train
636,train
637,train
638,test
639,train
640,train
641,test
642,train
643,train
644,train
645,test
646,train
647,train
648,train
649,train
650,train
651,val
652,train
653,train
654,train
655,train
656,train
657,train
658,test
659,train
660,val
661,train
662,train
663,train
664,train
665,train
666,val
667,train
668,train
669,train
670,train
671,train
672,train
673,train
674,val
675,val
676,train
677,train
678,test
679,train
680,train
681,train
682,train
683,train
684,train
685,train
686,test
687,train
688,train
689,train
690,train
691,train
692,train
693,val
694,train
695,train
696,val
697,train
698,train
699,train
700,train
701,train
702,train
703,train
704,train
705,train
706,train
707,train
708,test
709,test
710,val
711,train
712,train
713,train
714,train
715,test
716,test
717,test
718,train
719,train
720,train
721,train
722,train
723,train
724,train
725,train
726,val
727,train
728,train
729,train
730,train
731,train
732,test
733,train
734,train
735,test
736,train
737,train
738,train
739,train
740,train
741,train
742,train
743,train
744,train
745,train
746,train
747,test
748,train
749,train
750,train
751,train
752,train
753,train
754,train
755,train
756,train
757,train
758,train
759,val
760,test
761,train
762,train
763,train
