video_id,url_id
0,7441204604273986842
1,7441231919775304998
2,7441247771501399315
3,7441157441477250339
4,7441171880955923724
5,7441128361688173858
6,7441172031166614843
7,7441246528737479993
8,7441225815032892722
9,7441167189404683558
10,7441211212093721914
11,7441174568577928508
12,7441160638602284314
13,7441307051533356323
14,7441307521970720009
15,7441249633109675279
16,7441143368844873018
17,7441558830837747001
18,7441547773725445413
19,7441407772018674980
20,7441452304856894783
21,7441833599042620710
22,7441988011564338441
23,7442139764310002984
24,7442138669110070565
25,7441114347667082537
26,7441133813889010978
27,7441216111363804456
28,7441363954112204095
29,7441121463886728511
30,7441195365677731099
31,7441243392949996841
32,7441070519790669092
33,7441227295962025242
34,7441140501337607458
35,7441116879126646067
36,7441002544421244212
37,7441056275657461030
38,7441067085091933478
39,7441209542853037350
40,7441129477028973858
41,7441133350762319130
42,7441175572664896780
43,7441061541090184488
44,7441112215421324581
45,7441146432763088166
46,7441378997092633866
47,7441392331816701203
48,7441365421825002788
49,7441588312378248483
50,7441435247729839372
51,7441228625992764682
52,7441435170571341107
53,7441526059159407922
54,7441404694318107941
55,7441587607391309107
56,7441524292300541242
57,7441414951933168907
58,7441402572776230195
59,7441487948287167756
60,7441788261539892518
61,7442161394994154809
62,7442551279479557403
63,7442586712242392378
64,7441163791917714747
65,7441181876196297984
66,7442923164801256739
67,7440632837205806393
68,7440665236580961576
69,7440862932671499555
70,7440728694232042791
71,7440676809823358235
72,7440654013936307467
73,7442962051862957346
74,7440857571285552424
75,7440827473639525682
76,7440844828268612876
77,7440985770078375205
78,7440891672008953107
79,7440974811020446995
80,7440982339649326394
81,7440789211709541669
82,7440777815030517011
83,7440849904223784207
84,7440872122228034873
85,7440849910393474313
86,7440606312284638491
87,7440801035410492699
88,7440838634523200804
89,7440772710508055866
90,7440832607601937724
91,7440766453717945626
92,7440774446945668386
93,7440942365361098036
94,7440980185689640219
95,7440995569591504128
96,7440891533643009291
97,7441003200565529914
98,7441127179188047161
99,7441151643321732402
100,7441085636586556682
101,7441431262696410394
102,7441602530397801779
103,7441414437103226124
104,7441393379868429604
105,7442283572393790778
106,7442356916883344699
107,7440868130139721017
108,7440707997459877130
109,7440632060760329498
110,7440350337183042856
111,7440409913211276544
112,7440735097055153420
113,7440632326507285798
114,7441131268923739430
115,7441080617229356340
116,7441235721983233315
117,7441057432203267367
118,7440113303705128251
119,7440769535516429578
120,7440964735878565180
121,7440960969515207963
122,7440317442070498569
123,7440883722343222569
124,7440823435283975461
125,7440892435850431759
126,7441163368901184794
127,7441226562680180019
128,7441161146997951780
129,7441196392678247691
130,7441168773022846249
131,7441126198555512121
132,7441070660463381779
133,7441049167008468239
134,7441057696775720252
135,7441146447375977778
136,7441321711695351097
137,7440690831335378210
138,7440683311208467751
139,7440791963969916223
140,7440769430482717963
141,7440684000856886540
142,7440988990431350051
143,7440710480093564170
144,7440613003365535036
145,7440630885919001866
146,7440628340358122788
147,7440515039561289001
148,7440617354146450699
149,7440721600493686073
150,7440746193979755827
151,7440632024630562058
152,7440731741700115749
153,7440668025147215167
154,7440788751208533298
155,7440615526285577510
156,7440786058909879591
157,7440745707029482793
158,7441179392383929660
159,7441535205883661619
160,7440779784096861449
161,7442939183804534073
162,7442924974307904820
163,7440705333187693864
164,7440766702897417523
165,7440684253081275659
166,7440759631112113443
167,7440820683879304506
168,7440767695320042810
169,7440803011397471546
170,7440755258294308130
171,7440775663121878283
172,7440710451605916940
173,7441080070006967609
174,7440819074059324735
175,7440742060472274187
176,7440812756300827942
177,7440764764403322172
178,7440724383611587855
179,7440741352310164770
180,7440722053960895796
181,7440793391585185033
182,7440691543926721827
183,7440791359407017231
184,7440762478327287099
185,7440754152185007369
186,7440726732836998454
187,7440849409723665674
188,7440699991728868608
189,7440752532634373439
190,7440780880479604022
191,7440738282721365263
192,7440749350944378123
193,7440688162814381351
194,7440768960879938866
195,7440793767805766970
196,7440760144859876646
197,7440727891052203283
198,7440860885540785465
199,7440737927958695226
200,7440804065249922358
201,7441062536759282971
202,7441084243800821004
203,7440948280189652276
204,7441101323497508137
205,7441089341197143332
206,7440982365003943202
207,7440997548233329971
208,7441143815785745676
209,7440992811723328822
210,7441000212740607258
211,7441340199881280826
212,7442163466636430601
213,7443207056649227580
214,7443417620071648539
215,7438891410654252328
216,7439286375557500197
217,7441168118627536138
218,7441132724124945698
219,7442295349626080512
220,7443799368655703311
221,7440498054324636979
222,7440475416600579387
223,7440470299994377531
224,7440627056053849396
225,7440617560661314866
226,7440638077598469439
227,7441100135725059386
228,7441165177199873337
229,7440363719101631778
230,7440415604273728806
231,7440392190053977403
232,7440371366496423195
233,7440495473925819688
234,7440396265155759420
235,7440838411029712191
236,7440775028901154111
237,7440838832372583695
238,7440462216329006393
239,7440465340582087994
240,7440366029433228554
241,7440448961153895689
242,7440401122516323623
243,7440416039243943227
244,7440765598545497378
245,7440642161130933563
246,7440834076904426790
247,7440634124043357499
248,7440510119969885490
249,7440873961224670476
250,7440628429453528377
251,7440876837720329513
252,7441173755226852619
253,7441220336558837052
254,7441214007526149433
255,7441135118837632314
256,7441110606058425650
257,7441062537573010714
258,7441343743258643775
259,7441274684437433612
260,7441608064517639483
261,7441535752690781497
262,7441483517147532554
263,7441441726285368634
264,7441544914434821386
265,7441366545554623754
266,7441771664490237219
267,7441725480312655141
268,7441950177872694591
269,7441933159500926245
270,7441945516323228965
271,7441666590707436860
272,7441832855249915147
273,7441951790175669554
274,7441748368105213236
275,7441625097561001273
276,7442256099895725327
277,7442447909586472203
278,7442797244966800659
279,7442790652598865188
280,7443189024262458663
281,7443262354055367974
282,7444085478829182266
283,7441061773874072832
284,7441101704394804490
285,7441036731945635130
286,7440715788769627426
287,7441064435134876963
288,7441207883791977743
289,7440647971772976434
290,7441126227978571027
291,7441356515304377658
292,7440235971452423481
293,7441125869961170236
294,7441118066643062073
295,7441206366049439036
296,7441143178654158107
297,7441105801290321192
298,7441384566717156667
299,7441330187549068594
300,7441389807357431050
301,7441393825395871036
302,7441045486447906074
303,7441231714053066041
304,7441211760167718201
305,7441218642533977359
306,7441143557810818323
307,7441221482212052276
308,7441113946041355579
309,7441157647438482740
310,7441134244891479355
311,7441112951622274314
312,7441141184417860924
313,7441057130532195624
314,7441200096261262611
315,7441141968492645695
316,7441130272365481275
317,7441220784275721530
318,7441065056680414524
319,7441254747585269051
320,7441397638513184060
321,7441343633367797030
322,7441367595699178810
323,7441385316944055593
324,7441257844126518585
325,7441386902487305511
326,7441325498464079161
327,7441347052128292130
328,7441367876214246714
329,7441468651598794020
330,7441611062429977866
331,7441436135764577563
332,7441486668512759078
333,7441603236965944634
334,7441429824255593754
335,7441557389607783695
336,7441466640488729913
337,7441557572026404154
338,7441421081233083688
339,7441404828397391130
340,7441835932036205864
341,7441871011823275322
342,7441929784671735100
343,7441862464934923557
344,7441900005880810792
345,7442261834226306355
346,7442530108608367932
347,7443015703948430592
